Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
قم بتسمية شيء تراه على إكليل عيد الميلاد,34,قَوس,32,هولي / التوت,14,أضواء,12,أجراس,5,مخاريط الصنوبر
اسماء الأطعمة التي يخشى الآباء تقديمها لأطفالهم بسبب فوضاها,38,المعكرونة,28,بوظة,22,الشوكولاته / الحلويات,5,جو قذر,4,بيتزا
قم بتسمية مكان يأمل الناس فيه ألا يجلس بالقرب منهم طفل.,39,الطائرات,23,أفلام,17,مطعم,8,حافلة,8,مكان العبادة
أخبرني بشيء تفعله عندما تسهر في وقت متأخر من الليل.,58,مشاهدة التلفزيون / الفيلم,16,يقرأ,14,وجبة خفيفة,7,شرب,3,لعب ألعاب الكمبيوتر
اذكر سببًا قد يجعل الشخص يفضل امتلاك كلب على قطة.,54,حماية,14,الولاء,11,حساسية القطط,9,أكثر ودية,9,لعوب
"قم بتسمية كائن محدد قد ترى عليه كلمة ""تحذير"".",51,علامة الطريق,20,الشريط الأصفر,10,علامة أرضية مبللة,15,مشروب ساخن,4,مادة سامة
ما هي سمات العمل السيئة التي يصعب اكتشافها أثناء إجراء مقابلة مع شخص ما؟,43,الكسل,27,تأخر,11,يكذب,5,سرقة,5,الحضور ضعيف
قم بتسمية شخص مشهور ارتدى عباءة، لكنه لم يكن بطلاً خارقًا.,51,دراكولا,28,زورو,7,إلفيس بريسلي,7,شيرلوك هولمز,5,البابا
ماذا يفعل المراهقون مع عائلاتهم في عطلة عيد الميلاد، وربما يشعرون بالحرج لو عرفوه؟,36,غناء كارولز,25,إظهار المودة,18,الرقص,17,العب ألعاب العائلة,3,تشكل للصور
قم بتسمية شيء يُعطى لكل من الكلاب المدللة والأطفال المدللين,50,يعامل,33,ألعاب,5,انتباه,4,ملابس,3,مدح
اذكر الوظيفة التي قد يشغلها الرجل والتي تجعله رمزًا جنسيًا حتى في سن الشيخوخة,39,ممثل,23,نموذج,16,راقصة,4,رجل الاطفاء,6,رئيس
قم بتسمية الطعام المالح الذي يصعب التوقف عن تناوله بمجرد البدء.,46,رقائق البطاطس,20,الفول السوداني,15,الفشار,8,بطاطس مقلية,8,المعجنات
قم بتسمية الطريقة التي يتجول بها السياح في مدينة كبيرة.,44,حافلة سياحية,23,تاكسي,18,سيرا على الأقدام,10,بيلكس,3,وسائل النقل العام
ما الذي قد تفعله في إحدى الحفلات، والذي قد تندم عليه في اليوم التالي؟,48,اشرب كثيرًا,31,تقبيل شخص ما,4,الرقص طوال الليل,3,الحصول على عارية,3,وضع القدم في الفم
قم بتسمية شيء يفعله الأطفال بأوراق الاختبار السيئة,43,رمى,5,إخفاءهم,5,احرقهم,5,تغيير الدرجة,3,مزق لهم
إن التعرض للمياه الساخنة هو إحدى الطرق للقول بأنك في ورطة - قم بتسمية طريقة أخرى.,30,في بيت الكلب,28,على الجليد الرقيق,15,في مخلل,11,أحرقت الجسور الخاصة بك,11,نهر بلا مجداف
أخبرني عن الرمز المستخدم لتمثيل الحب,59,قلب,17,كيوبيد,6,قبلة,5,جرس,4,وَردَة
إذا كنت متزوجًا من قرصان، ما الذي قد تحصل عليه غالبًا كهدية؟,47,عملات ذهبية,16,مجوهرات,14,ببغاء,11,رقعة العين,9,رم
ما الذي تكره حدوثه عند القيادة إلى المنزل بسيارة جديدة؟,45,حادثة,25,انفصال,18,الإطارات المسطحة,6,مطر,4,نفاد الغاز
قم بتسمية أحد المكونات التي قد يكون مذاق ملفات تعريف الارتباط سيئًا إذا نسيت إضافتها.,56,سكر,24,دقيق,7,بيض,5,سمنة,3,ملح
ما هي الأغنية التي تعتقد أن سانتا كلوز يستخدمها كنغمة رنين هاتفه الخلوي؟,60,جلجل أجراس,14,سانتا كلوز قادم,9,رودولف,8,هنا يأتي سانتا كلوز,3,سانتا بيبي
قم بتسمية طريقة للنزول من مبنى شاهق,32,القفز,28,مصعد,19,سُلُّم,8,سلالم,6,مقياس ذلك
قم بتسمية مكان تكره رؤية القمامة فيه,68,حديقة,11,شاطئ,8,على جانب الطريق,7,ساحة,3,ساحة المدرسة
قم بتسمية مكان تكره رؤية القمامة فيه.,68,حديقة,11,شاطئ,8,على جانب الطريق,7,ساحة,3,ساحة المدرسة
قم بتسمية شيء يتم تنشيطه بواسطة الماء,40,صابون,26,خميرة,13,القهوة / الشاي,8,كول ايد,5,قرود البحر
قم بتسمية حيوان قد تجده في المحيط ولكن ليس في بركة.,44,سمك القرش,24,حوت,16,دولفين,7,الأخطبوط,6,ختم
قم بتسمية مهنة يمكنك من خلالها الاستمتاع بالقراءة أثناء العمل,59,أمين مكتبة,13,الكاتب / المحرر,13,مدرس,6,سكرتير,5,حارس أمن
في عرض الألعاب - قم بتسمية شيء يجب على المضيف القيام به.,37,إجراء محادثة,29,اطرح الأسئلة,23,يبتسم,4,تقديم الفرق,3,روح الدعابة
إلى جانب المقامرة - قم بتسمية شيء يفعله الناس في لاس فيغاس,37,شرب,28,تزوج,16,يأكل,9,انظر العروض,7,محل
اذكر سببًا محددًا لطردك من وظيفتك كحارس حديقة حيوان,31,حيوانات مجانية,30,لا تطعم الحيوانات,13,القسوة على الحيوان,12,النوم على الوظيفة,11,تظهر في وقت متأخر
اذكر سببًا قد يدفعك إلى تخطي وجبة الغداء,45,ليس جائعا,16,مشغول جدا,12,على النظام الغذائي,10,العمل/الاجتماع,5,مريض
قم بتسمية شيء لا يمكنك فعله أثناء وجودك على كرسي طبيب الأسنان.,56,الحديث,19,يأكل,10,يتحرك,8,ينام,6,يغني
قم بتسمية شيء يمكنك القيام به أثناء رحلة السيارة ولا يمكنك القيام به أثناء ركوب الطائرة.,45,توقف الحفرة,23,دخان,10,يقود,8,التحدث على الهاتف,8,يغني
في حفل لموسيقى الروك- قم بتسمية شيء يفعله الناس عندما تنتهي الأغنية.,47,صفق,29,الصراخ,12,العودة إلى المنزل,6,دعوة للظهور,4,اجلس
اذكر سببًا قد يجعل معلم طفلك يتصل من المدرسة,51,مريض,17,السلوك السيئ,13,درجات سيئة,11,يعارك,6,تخطي الصف
قم بتسمية شيء ما في الطبيعة لا ترغب في احتضانه بجانبه,43,دُبٌّ,16,ثعبان,13,النيص,10,صبار,5,الظربان
قم بتسمية شيء يفعله الأطفال بالثلج، لكن آباءهم لا يفعلون ذلك.,34,أكله,21,رمي كرات الثلج,16,اصنع ملائكة الثلج,15,بناء رجال الثلج,9,زلاجة فيه
أخبرني بشيء يتقاتل الأطفال عليه في رحلة طويلة بالسيارة,46,ألعاب,23,راديو,18,فضاء,7,مقعد النافذة,4,وجبة خفيفة
قم بتسمية شيء تفعله باستمرار عندما تصاب بالبرد.,42,يعطس,30,سعال,14,ضربة الأنف,5,ينام,4,شهق
قم بتسمية شيء يرتديه الغواصون في أعماق البحار - والذي ستبدو سخيفًا عند ارتدائه في حوض السباحة.,48,الزعانف,33,خزان الأكسجين,8,قناع,7,بدلة مبللة,3,اشنركل
قم بتسمية قطعة من الملابس تجعلك تشعر أنك لا تستطيع التحرك,27,معطف,26,جينز,18,حزام,9,الجوارب,6,بدلة ثلج
قم بتسمية شيء يشتريه الناس غالبًا بكميات كبيرة في المتجر متعدد الأقسام.,35,مناديل المراحيض,35,الجوارب,12,طعام,7,صابون,4,الصودا
لماذا قد يحب شخص ما حرب النجوم ولكن ليس ستار تريك؟,40,الشخصيات,27,المزيد من العمل,13,السيوف الخفيفة,11,تفضل الأفلام,7,المؤثرات الخاصة
ما الذي قد تراه في إعلان شخصي يجعلك تعتقد أنه تم وضعه بواسطة دمية باربي؟,30,ابحث عن كين الخاص بي,27,بلاستيك,15,شعر أشقر,10,القياسات,9,أخطاء إملائية
اذكر شيئًا قد يفعله العميل لإزعاج النادلة.,40,إرسال الطعام مرة أخرى,35,لا نصيحة,6,يعاكس,5,المفاجئة الأصابع,4,انسكاب المشروبات
إلى أين يمكن أن يأخذك الرجل في موعدك الأول مما قد يمنعه من الحصول على موعد ثانٍ؟,33,حاجِز,28,نادي التعري,17,مطعم الوجبات السريعة,12,حديقة الحيوان,5,لعبة رياضية
أخبرني بعذر تستخدمه لتجنب الغناء في نادي الكاريوكي.,49,التهاب الحلق/المريض,24,لا أستطيع الغناء,13,صوت ضائع,7,الكثير من الشراب,5,رهبة المسرح
قم بتسمية شيء قد تجعل الأم ابنتها تنتظر حتى تبلغ من العمر 12 عامًا لتفعله.,28,ارتداء المكياج,25,حلاقة,23,آذان بيرس,10,يطبخ,3,البقاء في المنزل وحده
قم بتسمية طعام مرتبط بالرومانسية.,42,الشوكولاته,30,الفراولة,12,المحار,8,معكرونة,5,شريحة لحم
قم بتسمية التكلفة الخفية عند شراء سيارة.,38,عنوان,22,اهتمام,20,ضريبة,8,مكيف الهواء,7,ستيريو
قم بتسمية العنصر الذي يأتي عادةً مع الكثير من التغليف في الصندوق.,43,زجاج/أطباق,33,تلفزيون,10,حاسوب,6,ألعاب,5,ستيريو
بدون صراخ – كيف يدافع الممثل الصامت عن موقفه أثناء الجدال؟,45,إيماءة,26,نقطة الاصبع,13,تعبيرات الوجه,5,معركة,4,ستومب
اذكر اسم المرض الشائع الذي يبدو أن الأطفال يصابون به أكثر من البالغين,32,بارد,30,الإنفلونزا,28,حُماق,5,عدوى الأذن,3,التهاب الحلق
اذكر شيئًا من شأنه أن يجعل الشخص يتقدم في العمر بشكل أسرع.,44,تدخين,23,حمامات الشمس,16,الشرب,8,قلة النوم,5,ضغط
ما الذي يمكن أن تفعله أثناء نومك والذي قد يجده شخص آخر لطيفًا؟,55,يتحدث,25,شخير,8,يبتسم,7,سال لعابه,3,مص الإبهام
اذكر شيئًا تفعله النجوم أثناء الطلاق ولا تفعله أنت.,28,يعارك,28,حزب,18,التاريخ على الفور,5,انتقل إلى الجمهور,5,مقاضاة للحصول على مبالغ كبيرة
قم بتسمية شيء قد يبحث عنه الغواص تحت الماء,52,الحيوانات البحرية,22,كنز,10,قذائف,8,شخص مفقود,5,السفينة الغارقة
ما هي قطعة الملابس التي تشك في أن كل مزارع يمتلكها؟,53,وزرة,16,قبعة رعاة البقر,13,الجينز الأزرق,8,أحذية,7,الحمالات
قم بتسمية الزي الرياضي الذي يبدو العديد من الرجال مثيرين فيه.,33,البيسبول,30,كرة القدم,11,كرة القدم,8,كرة السلة,6,ملابس السباحة
من هو مؤدي السيرك أو العروض الجانبية الذي يتمتع ببوليصة تأمين جيدة؟,42,تامر الأسد,17,فنان ترابيز,13,البهلوان,9,آكل النار,8,مبتلع السيف
قم بتسمية فصل دراسي معروض في صالات الألعاب الرياضية الآن ولم يكن معروضًا منذ 20 عامًا,44,اليوغا,28,الغزل,18,بيلاتيس,6,تجريب الرقص,3,تاي بو
أخبرني عن نوع شائع من الحلوى محلية الصنع يتم تقديمه خلال العطلات,44,حلوى,21,الشوكولاتة,14,الفول السوداني هش,9,الحلوى,7,حلوى
قم بتسمية شيء يفعله القفز بالمظلات قبل القفز من الطائرة,67,يصلي,12,تحقق من المظلة,9,الصراخ,5,عيون مغلقة,4,خذ نفسا عميقا
قم بتسمية شيء قد تتوقف عن القيام به عند القيادة في جميع أنحاء البلاد.,27,يأكل,24,توقف الاستراحة,21,املأ الغاز,12,اسأل الاتجاهات,12,التقاط الصور
كيف يمكنك إخبار الشخص الذي تتحدث إليه بأنه غير مهتم بالاستماع؟,41,لا ينظر إليك,30,التثاؤب,16,تغفو,6,عيون المتداول,5,التحدث مع شخص آخر
كيف يمكنك معرفة أن شخصًا ما قد عاد للتو من رحلة تخييم؟,58,متسخ,15,حمل العتاد,9,مرهق,8,لدغات الحشرات,5,المدبوغة
قم بتسمية شيء يحدث لمعظم الناس، ولكن ليس لسانتا كلوز.,41,موت,33,احصل على العمر,11,مشاكل المرور,5,فقدان الوزن,3,الضرائب
قم بتسمية جزء من المعلومات المدرجة على لوحة نتائج البيسبول.,57,نتيجة,17,أشواط,10,عموميات,7,الشوط,6,فرق
قم بتسمية شكوى قد تكون لدى أحد العملاء بشأن غرفته في الفندق,34,متسخ,28,ضوضاء,16,لا المناشف,14,يشم,3,درجة حرارة
ما هو العرض الذي قد تشاهده رجلاً والذي قد يجعلك تلغي موعدك معه على الفور؟,31,رجال شرطة,27,الغشاشون,21,أمريكا الأكثر طلبا,13,جيري سبرينغر,5,البكالوريوس
قم بتسمية شيء يطلب الآباء دائمًا من أطفالهم تنظيفه.,49,غرفهم,17,أسنانهم,13,أيديهم,10,خلف آذانهم,8,لوحاتهم
اذكر مكانًا جيدًا لوضع يديك عليه أثناء تقبيل شخص ما.,27,وجههم,19,حول رقبتهم,16,الوركين,16,ظهرهم,9,أكتافهم
قم بتسمية شخص آخر غير العائلة والأصدقاء الذي تثق به,45,القس,26,مدرس,9,طبيب,7,عامل مشترك,5,معالج نفسي
لماذا يجوز للإنسان أن يشرب الشاي بدلا من القهوة؟,52,كمية أقل من الكافيين,21,ذوق,10,أكثر صحة,8,لديك نزلة برد,5,إنهم إنجليز
قم بتسمية شخصية أطفال مرتبطة بكونها صغيرة.,33,تيم الصغير,20,تينكربيل,19,توم الإبهام,15,ستيوارت ليتل,4,ثومبلينا
قم بتسمية شيء يرتديه الناس ويأتي بمقاس واحد فقط.,38,قبعة,22,نظارات,12,وشاح,10,قفازات,8,رَابِطَة
ما هي القطعة التي ترتديها طوال العام والتي تصبح مبهرجة بشكل استثنائي خلال العطلات؟,32,سترة,28,قبعة,21,الجوارب,11,الأقراط,5,ربطة عنق/وشاح
اذكر سببًا لعدم رغبة الزوجين في إنجاب الأطفال.,35,غالي,25,قديم جدًا,14,التركيز على المهنة,14,غير متزوج,10,صغير جدًا
أخبرني بشيء تستخدمه في العمل كل يوم، ولكنك تكره أن تستخدمه في الإجازة,50,حاسوب,27,هاتف,6,الفأس,3,آلة حاسبة,3,أدوات
ما هو الشيء الذي يفعله زوجك ليمنعك من النوم؟,45,شخير,30,يتحدث,17,تكبب,4,مشاهدة التلفزيون,3,إرم ودور
قم بتسمية شيء يمكن للقطط مطاردته طوال اليوم.,35,الفئران,23,ذيل,11,كرة من الغزل,9,الطيور,8,ألعاب
ما هو نوع البنطلون الأفضل لارتدائه عندما تخطط للإفراط في تناول الطعام في عيد الشكر؟,38,سروال العرق,35,السراويل تمتد,18,جينز,3,وزرة,3,سروال المسار
قم بتسمية مساحة صغيرة تشعر فيها أنك مجبر على إجراء محادثة قصيرة مع شخص غريب.,37,مصعد,31,طائرة,16,مرحاض,9,غرفة الانتظار,5,محطة القطار
قم بتسمية شيء لا يرغب الآباء في العثور عليه تحت سرير أطفالهم,62,المجلات,24,طعام متعفن,5,الملابس القذرة,4,بوجيمان,3,نفاية
قم بتسمية شيء قد تجده ملقاة على الشاطئ.,37,قذائف,27,حوت,16,رسالة في زجاجة,11,الأعشاب البحرية,4,نفاية
قم بتسمية شيء تراه في ساحة شخص ما كديكور للعطلات.,35,أضواء,28,سانتا,17,رجل ثلج,10,الرنة,7,شجرة
أخبرني بشيء يرتديه الجواسيس لإخفاء هويتهم.,38,النظارات الشمسية,27,قناع,27,شعر مستعار,4,شعر الوجه,3,معطف الخندق
قم بتسمية لعبة قد يكون Barfly جيدًا فيها قليلاً,57,السهام,18,البلياردو,8,لعبة البوكر,4,كرة القدم,3,التوافه
قم بتسمية شيء يبدأ الزوجان في الشجار حوله بمجرد انتقالهما للعيش معًا.,41,مال,38,فضاء,7,تنظيف,7,حمام,4,تلفزيون
في حمام السباحة العام- ما الذي قد تدفعه أكثر للإيجار؟,35,خزانة,26,منشفة,16,كرسي,12,الأنبوب الداخلي/الطفو,9,مظلة
اذكر شيئًا يفعله الناس لتوفير الطاقة في جميع أنحاء المنزل,55,إطفاء الأنوار,23,اضبط منظم الحرارة على مستوى منخفض,9,استخدم مكيفات هواء أقل,4,لمبات فعالة,3,افصل الإلكترونيات
ما الذي يمكن أن يفعله أحد محبي التسوق في المتجر لمنع الإفراط في الإنفاق,32,مغادرة المتجر,26,لا تحمل المال,26,النقد وليس الائتمان,6,حدد الميزانية,6,استخدام كوبونات
أخبرني عن أسوأ طريقة لشخص ما لإيقاظك.,39,الصراخ,37,سبلاش مع الماء,10,اهتزك,6,القفز على السرير,5,استخدم المنبه
قم بتسمية اليوم الذي يحصل فيه الأطفال على الكثير من الحلوى,64,الهالوين,13,عيد الفصح,5,عيد الميلاد,5,عيد ميلاد,3,عيد الحب
قم بتسمية شيء تمتلكه الحيوانات الشرسة مما يجعلها مهددة.,50,أسنان حادة,18,مخالب,14,هدير,5,قرون,5,السم
ما هو الشيء المشترك بين سانتا كلوز وأرنب عيد الفصح وجنية الأسنان؟,33,البعض لا يصدق,26,مناسبات خاصة,18,إحضار الهدايا,13,الاطفال يحبونهم,3,زيارة في الليل
عندما يكون الجو باردًا في الخارج - قم بتسمية شيء تحلم بالقيام به على شاطئ مشمس,43,دباغة,25,سباحة,9,المشروبات الاستوائية,8,نزهه,5,الكرة الطائرة
قم بتسمية نشاط غالبًا ما يتم وصفه في أغاني عيد الميلاد - نادرًا ما يفعله الناس في الحياة الواقعية.,35,كارول,24,سطح القاعات,18,ركوب مزلقة,16,الكستناء المشوي,6,المشي/اللعب في الثلج
ما الذي يجب على المرأة فعله لكي تصبح عارضة أزياء؟,53,نظام عذائي,15,يمارس,12,جراحة تجميلية,6,احصل على لقطات للرأس,4,ارتدي ملابس أنيقة
اذكر المناسبة التي يشتري لها الرجال هدايا لزوجاتهم.,46,عيد,30,عيد ميلاد,7,عيد الحب,4,عيد الميلاد,3,قِرَان
قم بتسمية مكان ستشعر فيه بالخوف إذا انقطع هاتفك الخلوي.,39,كنيسة,37,جنازة,7,أفلام,4,مقابلة وظيفية,4,قِرَان
قم بتسمية شيء تحذر الأمهات من أن أطفالهن قد يصيبهم بالبرد.,34,عدم ارتداء سترة,26,الجراثيم,15,عدم ارتداء الأحذية,7,لا قبعة,5,الرأس الرطب
قم بتسمية أول شيء ستقوله للسائق الآخر بعد بندر الحاجز,56,آسف,23,هل أنت بخير؟,10,هل لديك تأمين؟,5,كلمة لعنة,4,ماذا كنت تفعل؟
قم بتسمية السمة المادية التي قد ينظر إليها المتجر عند التعاقد مع سانتا,48,بطن كبير,35,شعر الوجه,6,عمر,5,وجه جولي,3,الشعر الأبيض
قم بتسمية شيء تغيره أو في سيارتك,45,زيت,25,الإطارات,11,محطة الراديو,6,منصات الفرامل,4,مساحات الزجاج الأمامي
حقيقي أم خيالي - قم بتسمية رعاة البقر المشهورين,39,جون واين,18,روي روجرز,12,بيلي ذا كيد,10,الحارس الوحيد,9,وودي
أين يمكن أن يعتقد محبي الحيوانات الأليفة أنه ينبغي السماح لكلبهم؟,33,محل,18,مطعم,16,حديقة,12,الفندق,9,عمل
قم بتسمية مكان تشعر فيه بالنمل من الجلوس لفترة طويلة.,44,كنيسة,19,مدرسة,12,مسرح السينما,8,غرفة الانتظار,7,العمل/الاجتماع
قم بتسمية شيء محدد سيكون البطل الخارق عديم الفائدة بدونه.,53,الطيران,25,زي,6,قوة عظمى,5,الصاحب,4,رؤية الأشعة السينية
من أين تحصل على شجرة عيد الميلاد الخاصة بك من كل عام؟,34,محل,33,وودز,11,الكثير شجرة,8,مزرعة الشجرة,5,علية
ما الذي يمكن أن يستخدمه شخص ما أثناء قص شعره؟,48,مقص,24,مرآة,10,كليبرز,7,مشط,3,صَحن
قم بتسمية شيء تفعله أثناء الانتظار في الطابور,33,يقرأ,23,التحدث على الهاتف المحمول,17,همهمة / صافرة,7,يفكر,6,يشتكي
قم بتسمية شيء جديد يجب على الآباء الاتفاق عليه قبل ولادة طفلهم,52,اسم,29,دِين,8,لون الغرفة,5,رعاية الأطفال,3,تأديب
قم بتسمية مكان سيكون من الغريب الذهاب إليه إذا لم يكن لديك أطفال,33,حديقة / ملعب,22,تشاك إي تشيز,14,حديقة الحيوان,12,المدرسة / الرعاية النهارية,12,ديزني / ملاهي
إذا لم يكن المال شيئًا – من الذي يستأجره الأشخاص للمساعدة في جعل حياتهم أسهل؟,55,خادمة,20,الشيف,10,كبير الخدم,7,مربية,3,سائق
ما الذي يأمل معظم الناس تحقيقه عند بلوغهم سن الثلاثين؟,36,متابعة مهنة,28,تزوج,12,لديك أطفال,9,شراء منزل,9,إنهاء الكلية
قم بتسمية المهنة التي قد تكون فيها في مدينة جديدة كل ليلة.,47,طيار,17,مندوب مبيعات,10,موسيقي,8,سائق شاحنة,7,مضيفة طيران
ما الذي يفتقده الناس في شبابهم؟,29,طاقة,28,يبدو,19,هزار,12,الذهاب إلى المدرسة,10,حرية
قم بتسمية شيء يتنافس الناس عليه.,33,بلح,31,الرياضة,13,مال,10,وظائف,4,ألعاب
ما هي الرياضات الأكثر شعبية في أمريكا عنها في البلدان الأخرى؟,65,كرة القدم,17,البيسبول,7,كرة السلة,5,الهوكي,3,جولف
اذكر سببًا قد يجعلك ترغب في الاختباء من شخص ما في العمل,39,لا تحبهم,29,متأخر,19,مدينون لهم بالمال,8,إنه حبيبك السابق,4,في ورطة
قم بتسمية شيء ترتديه بعض الحيوانات الأليفة - على الرغم من أنه عادةً ما يرتديه البشر فقط.,39,سترة,25,قميص,14,معطف,8,أحذية,4,مجوهرات
قم بتسمية شيء تكره أن تفقده في المطار.,36,أمتعة السفر,21,بطاقة الصعود إلى الطائرة,17,الهوية/جواز السفر,13,مال,4,أطفال
قم بتسمية شيء يصعب التغلب عليه.,44,انفصل,35,موت,8,سور,7,فايروس,5,جبل
ما هي الخصائص التي تجعل دراكولا يبدو جذابًا في إعلان شخصي؟,42,الشعر الداكن,28,طويل,9,يرتدي ملابس جيدة,7,لهجة,4,غامض
كيف يمكنك معرفة شخص ما غاضب منك من خلال رسائله النصية؟,68,جميع القبعات,12,علامات التعجب,7,الشتائم,6,وجه غاضب,5,لا يوجد رد
ما الذي يتقاتل حوله زملاء السكن في أغلب الأحيان؟,34,فواتير,28,تنظيف,19,طعام,5,حمام,3,ضوضاء
إذا كان بإمكانك الاختيار- ما هو المكان المثالي لمقابلة شريكك المستقبلي؟,38,مكان العبادة,21,مركز تسوق,15,حديقة,12,عمل,5,حزب
إذا كان الرجل يحاول الحصول على موعد مع امرأة، فماذا يمكنه أن يفعل لجذبها؟,42,إرسال الزهور,16,اشتري لها مشروبًا,16,امدحها,12,يعاكس,9,خط الالتقاط
بخلاف العمل - اذكر شيئًا يمكنك التوقف عن فعله إذا أصبحت مليونيرًا.,38,تنظيف,29,القيادة,19,طبخ,9,القلق,3,توفير
قم بتسمية الولاية التي يعيش فيها الكثير من الأشخاص عندما يتقاعدون.,49,فلوريدا,19,كاليفورنيا,18,أريزونا,6,هاواي,6,تكساس
قم بتسمية شيء يكره صاحب المطعم إخبار العملاء بأنه قد نفد منه,50,طعام,24,قهوة,12,فضاء,7,الكحول,6,الخاص
قم بتسمية شيء يلتقط الناس الكثير من الصور له أثناء الإجازة. كن محددًا.,42,أنفسهم,24,المحيطات,11,المباني الشاهقة,7,المعالم,4,الأشجار
قم بتسمية شيء يمكنك القيام به حتى على أقدم أجهزة الكمبيوتر.,36,معالجة نصوص,20,بريد إلكتروني,16,مطبعة,14,العب سوليتير,11,استخدم الآلة الحاسبة
ما الاسم الذي ستطلقه على ابنتك إذا أردت تسميتها على اسم ملكة؟,56,إليزابيث,14,فيكتوريا,12,ماري,5,كليوباترا,4,آن
قم بتسمية الوظيفة التي ستؤديها فقط في الليل.,48,المراقبة الليلية,16,نادل,14,الفنان,12,بواب,7,الحارس
قم بتسمية شيء تستخدمه لخبز فطيرة اليقطين.,44,اليقطين,23,فرن,12,فطيرة بان,8,بهارات,3,الحليب المبخر
اذكر سبب استدعاء المدير لموظفه إلى مكتبه.,44,الحصول على ترك,34,ترقية/رفع,13,تأخر,4,تحذير / توبيخ,3,عقد اجتماع
إذا مرت المرأة بأزمة منتصف العمر – ماذا يمكنها أن تفعل؟,45,شراء سيارة جديدة,21,لديك علاقة غرامية,17,جراحة تجميلية,8,فورة التسوق,8,قص/صبغ الشعر
قم بتسمية مكان سيكون من الغريب الذهاب إليه إذا لم يكن لديك أطفال.,33,حديقة / ملعب,22,تشاك إي تشيز,14,حديقة الحيوان,12,المدرسة / الرعاية النهارية,12,ديزني / ملاهي
قم بتسمية شيء يفعله الأشخاص الجبناء في الصور العائلية.,42,ابتسامة واسعة,25,آذان الأرنب,11,اصنع الوجوه,5,أَثَار,3,اللباس على حد سواء
قم بتسمية شيء لا يرغب الشاب في التحدث عنه مع والد صديقته.,34,علاقة,31,زواج,15,مال,7,الصديقات السابقات,6,أمومة
قم بتسمية نوع من السراويل التي لا يمكنك ارتدائها للعمل.,61,جينز,22,تعرق,6,جلد,5,السراويل تمتد,3,سروال بيجامة
قم بتسمية مطعم للوجبات السريعة يمكن أن يتعرف عليه الناس من خلال اللافتة الخاصة بهم.,39,ماكدونالدز,25,برجر كينج,14,تاكو بيل,11,كنتاكي فرايد تشيكن,5,بيتزا هت
"غير الحب - قم بتسمية شيء ""لا يمكن شراؤه بالمال"".",38,سعادة,22,صحة,14,الصداقة,8,عائلة,7,وقت
اذكر شيئًا يحدث لجسم شخص عجوز - وستتفاجأ إذا سمعت شكوى من مراهق,50,التجاعيد,25,التهاب المفاصل,8,شعر رمادي,8,ترهل,7,وجع الظهر
قم بتسمية نشاط ترفيهي تقليديًا في الطقس الحار,44,سباحة,18,البيسبول,17,الكرة الطائرة,11,تصفح,7,القوارب
قم بتسمية الطعام الفوضوي الذي يمكنك معرفة أن أحد الأطفال قد تناوله,30,معكرونة,28,بوظة,23,الشوكولاته,10,بيتزا,6,كعكة
قم بتسمية شيء ربما يرغب أصحاب الكلاب في أن لا تفعله كلابهم أبدًا,56,اذهب إلى الحمام,27,نباح,5,يعض,3,يصلط,3,حفر الثقوب
قم بتسمية شيء يحتاجه المنزل لكي يعتبر قصرًا,33,الكثير من الغرف,28,حمام سباحة,22,طاقم عمل,8,مصعد,4,بوابة
قم بتسمية شيء ما في المطبخ يسبب فوضى كبيرة إذا انسكب,39,لبن,17,عصير / كول ايد,15,دقيق,12,زيت الطبخ,8,شحم
قم بتسمية موضوع لا يستطيع معظم الرجال تحمله، لكن يمكن للنساء مناقشته لساعات,44,التسوق,19,ملابس,14,المسلسلات الصابونية,11,الرجال,7,شعر
بدلاً من الحجاب – ما هو نوع أغطية الرأس التي ستفاجئين برؤيتها على رأس العروس؟,45,كراون,28,قبعة صغيرة,9,قبعة بيسبول,8,رعاة البقر,7,خوذة
إذا جاء موعدك الأعمى ولم تشعر بالشرارة - ماذا ستفعل؟,42,التسلل خارجا,23,إنهاء التاريخ,18,اختلاق عذر,10,كن صادقا,3,يخفي
قم بتسمية لعبة أطفال ربما لعبها والديك ولا تزال موجودة,45,دمية باربي,15,يو يو,15,دمية طفل,11,قمة,9,حولا هوب
قم بتسمية شيء عادة ما يكون بنكهة الفاكهة,44,العلكة/الحلوى,22,عصير,10,جيل أو,6,الصودا,5,بوظة
قم بتسمية شيء لا يمكنك القيام به في صالة الألعاب الرياضية المنزلية أكثر مما يمكنك القيام به في صالة الألعاب الرياضية الحقيقية,40,السباحة,33,تشغيل المسار,8,ساونا,6,رفع الأوزان,5,الاختلاط
قم بتسمية شيء يلتقطه الطفل من المدرسة,61,الجراثيم/المرض,16,العمل في المنزل,11,قمل,6,العادات السيئة,3,يقسم
ما هي مصطلحات التحبب الأكثر شيوعًا المستخدمة عندما يتحدث الشخص مع شريكه؟,36,عسل,20,حب,18,طفل,7,عزيزي,5,حبيب
قم بتسمية مكان قد تلقي عليه نظرة قذرة عند النوم,47,مكان العبادة,25,عمل,18,مدرسة,4,النقل العام,3,مسرح
قم بتسمية الوقت الذي لا ينبغي عليك فيه إرسال رسالة نصية إلى الشخص الذي تحبه,41,في العمل,22,منتصف الليل,13,أثناء القيادة,12,مجنون,10,عند الشرب
