Question,score1,Answer 1,score2,Answer 2,score3,Answer 3,score4,Answer 4,score5,Answer 5
Name A Place Where The Average Person Wouldn’t Last A Day,43,Jail,24,Desert,13,Military,11,Frozen Tundra,6,Outer Space
Tell Me An Activity You Might Do To Prove You Aren’t Afraid Of Heights,43,Sky Dive,26,Bungee Jump,12,Rock Climb,6,Climb A Ladder,5,Paraglide
Name Something A Soldier Took To The First Day Of Kindergarten- That They Wouldn’t Take To Their First Day Of Training.,36,Blankey,21,Crayons,15,Lunchbox,12,Teddy Bear,10,Parent
Name Someone Who Children Believe In.,50,Santa Claus,27,God,10,Tooth Fairy,6,Easter Bunny,5,Parents
Name Something A Woman Should Know A Man Before Marrying Him,39,Income,26,Age,12,Does He Have Kids,8,His Name,5,Past Relationships
Name Something On The Menu That A Restaurant Might Guarantee Nobody Can Finish.,63,Steak,16,Burger,9,Pizza,4,Ribs,3,Pasta
Name Something You Avoid Doing Though You Feel Better After It’s Done.,52,Cleaning,15,Exercise,13,Shower,10,Laundry,4,Pay Bills
Name Something Specific You Almost Always Eat Out Of A Bag.,68,Chips,18,Popcorn,5,French Fries,5,Candy,3,Peanuts
Name A Gift That Adults Often Give To Each Other- That Would Be Weird To Give A Kid,32,Flowers,24,Alcohol,18,Money,17,Jewelry,6,Perfume
Name Something You Might See A Lifeguard Carrying,33,Whistle,28,Life Preserver,15,Towel,11,Surfboard,3,Person
Name Something You’d Be Shocked To See Falling From The Sky,29,Plane,24,Falling Star,22,Money,7,UFO,5,Person
Other Than Presents- What Might You Find Under A Christmas Tree?,31,Tree Skirt,21,Fallen Ornaments,20,Train,14,Needles,11,Pet
Name Something From Her Childhood That A Woman Might Keep Forever.,52,Doll/ Teddy Bear,17,Diary,13,Pictures,11,Security Blanket,5,Piece Of Jewelry
Name A Term That You’d Look Like A Fool For Not Knowing While Bowling,69,Strike,8,Spare,8,Turkey,6,Gutter Ball,5,Pin
Name Something You See On A Christmas Wreath,34,Bow,32,Holly/ Berries,14,Lights,12,Bells,5,Pine Cones
Name A Food Parents Are Afraid To Give Their Children Due To Its Messiness,38,Pasta,28,Ice Cream,22,Chocolate/ Desserts,5,Sloppy Joe,4,Pizza
Name A Place Where People Hope Not To Have A Baby Seated Near Them.,39,Airplanes,23,Movies,17,Restaurant,8,Bus,8,Place Of Worship
Tell Me Something You Do When You Stay Up Late At Night.,58,Watch TV/ Movie,16,Read,14,Snack,7,Drink,3,Play Computer Games
Name A Reason Why A Person Might Prefer To Own A Dog Over A Cat.,54,Protection,14,Loyality,11,Cat Allergies,9,Friendlier,9,Playful
Name A Specific Object On Which You Might See The Word “Caution.”,51,Road Sign,20,Yellow Tape,10,Wet Floor Sign,15,Hot Drink,4,Poisonous Substance
Which Bad Work Trait Would Be Hard To Detect While Interviewing Someone?,43,Laziness,27,Lateness,11,Lying,5,Stealing,5,Poor Attendance
Name Someone Famous Who Wore A Cape- But Was Not A Superhero.,51,Dracula,28,Zorro,7,Elvis Presley,7,Sherlock Holmes,5,Pope
What Do Teenagers Do With Their Families At The Christmas Holiday That They Probably Would Be Embarassed To Have Known?,36,Sing Carols,25,Show Affection,18,Dance,17,Play Family Games,3,Pose For Pictures
Name Something Given To Both Spoiled Dogs And Spoiled Children,50,Treats,33,Toys,5,Attention,4,Clothes,3,Praise
Name A Job That A Man May Have That Makes Him A Sex Symbol Even Into Old Age,39,Actor,23,Model,16,Dancer,4,Firefighter,6,President
Name A Salty Food That’s Hard To Stop Eating Once You Start.,46,Potato Chips,20,Peanuts,15,Popcorn,8,French Fries,8,Pretzels
Name A Way tourists Get Around In A Big City.,44,Tour bus,23,Taxi,18,On foot,10,Bilkes,3,Public Transportation
What Might You Do At A Party- That You’d Regret The Next Day?,48,Drink Too Much,31,Kiss Someone,4,Dance All Night,3,Get Naked,3,Put Foot In Mouth
Name Something Kids Do With Bad Test Papers,43,Throw Away,5,Hide Them,5,Burn Them,5,Change Grade,3,Rip Them
Being In Hot Water Is One Way Of Saying You’re In Trouble- Name Another.,30,In The Doghouse,28,On Thin Ice,15,In A Pickle,11,Burned Your Bridges,11,River Without Paddle
Tell Me A Symbol Used To Represent Love,59,Heart,17,Cupid,6,Kiss,5,Ring,4,Rose
If You Were Married To A Pirate- What Might You Often Receive For A Gift?,47,Gold Coins,16,Jewelry,14,Parrot,11,Eye Patch,9,Rum
What Would You Hate To Have Happen When Driving Home In A Brand New Car?,45,Accident,25,Break Down,18,Flat Tire,6,Rain,4,Run Out Of Gas
Name An Ingredient That Cookies Would Taste Terrible If You Forgot To Add.,56,Sugar,24,Flour,7,Eggs,5,Butter,3,Salt
What Song Do You Think Santa Claus Has As His Cell Phone Ringtone?,60,Jingle Bells,14,Santa Claus Is Coming,9,Rudolph,8,Here Comes Santa Claus,3,Santa Baby
Name A Way To Get Down From A Tall Building,32,Jump,28,Elevator,19,Ladder,8,Stairs,6,Scale It
Name A Place Where You Hate To See Litter,68,Park,11,Beach,8,Roadside,7,Yard,3,Schoolyard
Name A Place You Hate To See Litter.,68,Park,11,Beach,8,Roadside,7,Yard,3,Schoolyard
Name Something That Gets Activated By Water,40,Soap,26,Yeast,13,Coffee/ Tea,8,Kool Aid,5,Sea Monkeys
Name An Animal You Would Find In The Ocean But Not In A Pond.,44,Shark,24,Whale,16,Dolphin,7,Octopus,6,Seal
Name An Occupation Where You Could Get Away With Reading On The Job,59,Librarian,13,Writer/ Editor,13,Teacher,6,Secretary,5,Security Guard
On a game show- name something a Host must do.,37,Make conversation,29,Ask Questions,23,Smile,4,Introduce Teams,3,Sense of Humor
Besides Gamble- Name Something People Do In Las Vegas,37,Drink,28,Get Married,16,Eat,9,See Shows,7,Shop
Name A Specific Reason You’d Get Fired From Your Job As A Zookeeper,31,Free Animals,30,Don’t Feed Animals,13,Animal Cruelty,12,Sleep On Job,11,Show Up Late
Name A Reason You Might Skip Lunch,45,Not Hungry,16,Too Busy,12,On A Diet,10,Work/Meeting,5,Sick
Name Something You Can’t Do While You’re In The Dentist’s Chair.,56,Talking,19,Eat,10,move,8,Sleep,6,Sing
Name Something You Can Do During A Car Trip That You Can’t Do During A Plane Ride.,45,Pit Stop,23,Smoke,10,Drive,8,Talk On Phone,8,Sing
At A Rock Concert- Name Something People Do When A Song Is Over.,47,Clap,29,Scream,12,Go Home,6,Call For Encore,4,Sit Down
Name A Reason Why Your Kid’s Teacher Might Call From School,51,Sick,17,Bad Behavior,13,Bad Grades,11,Fight,6,Skipping Class
Name Something In Nature That You Wouldn’t Want To Cuddle Up Next To,43,Bear,16,Snake,13,Porcupine,10,Cactus,5,Skunk
Name Something Kids Do With Snow- But Their Parents Don’t.,34,Eat It,21,Throw Snowballs,16,Make Snow Angels,15,Build Snowmen,9,Sled In It
Tell Me Something Kids Fight Over On A Long Car Ride,46,Toys,23,Radio,18,Space,7,Window Seat,4,Snack
Name Something You Do Constantly When You Have A Cold.,42,Sneeze,30,Cough,14,Blow Nose,5,Sleep,4,Sniffle
Name Something Deep Sea Divers Wear- That You’d Look Silly Wearing In The Pool.,48,Flippers,33,Oxygen Tank,8,Mask,7,Wet Suit,3,Snorkle
Name An Article Of Clothing That Makes You Feel You Can’t Move,27,Coat,26,Jeans,18,Girdle,9,Tights,6,Snowsuit
Name Something People Often Buy In Large Quantities At The Department Store.,35,Toilet Paper,35,Socks,12,Food,7,Soap,4,Soda
Why Would Someone Like Star Wars- But Not Star Trek?,40,Characters,27,More Action,13,Light Sabers,11,Prefer Movies,7,Special Effects
What Might You See In A Personals Ad That Makes You Think It Was Placed By A Barbie Doll?,30,Lookin For My Ken,27,Plastic,15,Blonde Hair,10,Measurements,9,Spelling Errors
Name Something A Customer Might Do To Annoy A Waitress.,40,Send Food Back,35,Not Tip,6,Flirt,5,Snap Fingers,4,Spill Drinks
Where Might A Man Take You On A First Date That Would Keep Him From Getting A Second Date?,33,Bar,28,Strip Club,17,Fast Food resteraunt,12,Zoo,5,Sports Game
Tell Me An Excuse You’d Use To Avoid Singing At A Karaoke Club.,49,Sore Throat/Sick,24,Can’t Sing,13,Lost Voice,7,Too Much Too Drink,5,Stage Fright
Name Something A Mom Might Make Her Daughter Wait Til She’s 12 Years Old To Do.,28,Wear Makeup,25,Shave,23,Pierce Ears,10,Cook,3,Stay Home Alone
Name A Food That’s Associated With Romance.,42,Chocolate,30,Strawberries,12,Oysters,8,Spaghetti,5,Steak
Name A Hidden Cost When Buying A Car.,38,Title,22,Interest,20,Tax,8,Air Conditioner,7,Stereo
Name An Item That Usually Comes With A Lot Of Packaging In The Box.,43,Glass/Dishes,33,TV,10,Computer,6,Toys,5,Stereo
Without Yelling- How Does A Mime Defend His Position In An Argument?,45,Gesture,26,Point Finger,13,Facial Expression,5,Battle,4,Stomp
Name A Common Sickness That Kids Seem To Get More Often Than Adults,32,Cold,30,Flu,28,Chicken Pox,5,Ear Infection,3,Strep Throat
Name Something That Will Make A Person Age Faster.,44,Smoking,23,Sunbathing,16,Drinking,8,Lack Of Sleep,5,Stress
What Might You Do In Your Sleep That Someone Else Would Find Cute?,55,Talk,25,Snore,8,Smile,7,Drool,3,Suck Thumb
Name Something That Stars Do During A Divorce That You Wouldn’t Do.,28,Fight,28,Party,18,Date Right Away,5,Go Public,5,Sue For Large Sums
Name Something A Diver Might Look For Underwater,52,Marine Animals,22,Treasure,10,Shells,8,Missing Person,5,Sunken Ship
Which Article Of Clothing Do You Suspect Every Farmer Owns?,53,Overalls,16,Cowboy Hat,13,Blue Jeans,8,Boots,7,Suspenders
Name A Sports Uniform That Many Men Look Sexy in.,33,Baseball,30,Football,11,Soccer,8,Basketball,6,Swimwear
Which Circus Or Sideshow Performer Had Better Have A Good Insurance Policy?,42,Lion Tamer,17,Trapeze Artist,13,Tightrope Walker,9,Fire Eater,8,Sword Swallower
Name A Class Offered At Gyms Now That Wasn’t Offered 20 Years Ago,44,Yoga,28,Spinning,18,Pilates,6,Dance Workout,3,Tae Bo
Tell Me A Popular Type Of Homemade Candy Served During The Holidays,44,Fudge,21,Chocolates,14,Peanut Brittle,9,Toffee,7,Taffy
Name Something Skydivers Do Before Jumping Out Of The Airplane,67,Pray,12,Check Parachute,9,Scream,5,Close Eyes,4,Take A Deep Breath
Name Something You Might Stop To Do When Driving Across The Country.,27,Eat,24,Rest Stop,21,Fill Up Gas,12,Ask Directions,12,Take Pictures
How Can You Tell The Person You’re Talking To Is Not Interested In Listening?,41,Not Looking At You,30,Yawning,16,Fall Asleep,6,Rolling Eyes,5,Talking to Someone Else
How Can You Tell That Somebody Just Got Back From A Camping Trip?,58,Dirty,15,Carrying Gear,9,Tired,8,Bug Bites,5,Tanned
Name Something That Happens To Most People- But Not To Santa Claus.,41,Death,33,Get Old,11,Traffic Problems,5,Weight Loss,3,Taxation
Name A Piece Of Information Listed On A Baseball Scoreboard.,57,Score,17,Runs,10,Outs,7,Inning,6,Teams
Name A Complaint A Costumer Might Have About Their Hotel Room,34,Dirty,28,Noise,16,No Towels,14,Smell,3,Temperature
Which Show Might You See A Man On That Would Cause You To Cancel Your Date With Him Immediately?,31,Cops,27,Cheaters,21,America’s Most Wanted,13,Jerry Springer,5,The Bachelor
Name Something That Parents Are Always Telling Their kids To Clean.,49,Their Rooms,17,Their Teeth,13,Their Hands,10,Behind Their ears,8,Their Plates
Name A Good Place To Put Your Hands While Kissing Someone.,27,Their face,19,Around Their Neck,16,Their Hips,16,Their Back,9,Their Shoulders
Name Someone Other Than Family And Friends That You Would Confide In,45,Pastor,26,Teacher,9,Doctor,7,Co Worker,5,Therapist
Why Might A Person Drink Tea Instead Of Coffee?,52,Less Caffeine,21,Taste,10,Healthier,8,Have A Cold,5,They’re English
Name A Children’s character who’s associated with being small.,33,Tiny Tim,20,Tinkerbell,19,Tom Thumb,15,Stuart Little,4,Thumbelina
Name Something People Wear That Only Comes In One Size.,38,Hat,22,Glasses,12,Scarf,10,Gloves,8,Tie
What Item That You Wear Year-Round Gets Exceptionally Gaudy During The Holidays?,32,Sweater,28,Hat,21,Socks,11,Earrings,5,Tie/Scarf
Name A Reason A Couple Might Not Want To Have Kids.,35,Expensive,25,Too Old,14,Focus On Career,14,Not Married,10,Too Young
Tell Me Something You Use At Work Everyday- But Would Hate To Have To Use On Vacation,50,Computer,27,Phone,6,Ax,3,Calculator,3,Tools
What Is Something Your Spouse Does To Prevent You From Sleeping?,45,Snore,30,Talk,17,Snuggle,4,Watch TV,3,Toss And Turn
Name Something Cats Can Chase All Day.,35,Mice,23,Tail,11,Ball Of Yarn,9,Birds,8,Toys
Which Kind Of Pants Are Best To Wear When You’re Planning To Overeat At Thanksgiving?,38,Sweat Pants,35,Stretch Pants,18,Jeans,3,Overalls,3,Track Pants
Name A Small Space Where You Feel Compelled To Make Small Talk With A Stranger.,37,Elevator,31,Airplane,16,Restroom,9,Waiting Room,5,Train Station
Name Something Parents Wouldn’t Want To Find Under Their Child’s Bed,62,Magazines,24,Moldy Food,5,Dirty Clothes,4,Boogieman,3,Trash
Name Something That You Would Find Washed Up On A Beach.,37,Shells,27,Whale,16,Message In A Bottle,11,Seaweed,4,Trash
Name Something You See In Someone’s Yard As A Holiday Decoration.,35,Lights,28,Santa,17,Snowman,10,Reindeer,7,Tree
Tell Me Something Spies Wear To Disguise Their Identity.,38,Sunglasses,27,Mask,27,Wig,4,Facial Hair,3,Trench Coat
Name A Game That A Barfly Would Be A Little Too Good At,57,Darts,18,Billiards,8,Poker,4,Foosball,3,Trivia
Name Something A Couple Starts Fighting About Once They Move In Together.,41,Money,38,Space,7,Cleaning,7,Bathroom,4,TV
At A Public Pool- What Might You Pay Extra To Rent?,35,Locker,26,Towel,16,Chair,12,Inner Tube/Float,9,Umbrella
Name Something People Do To Save Energy Around The House,55,Turn Off Lights,23,Set Thermostat Low,9,Use Less A/C,4,Efficient Bulbs,3,Unplug Electronics
What Might A Shopaholic Do At The Store To Prevent Overspending,32,Leave Store,26,Carry No Money,26,Cash Not Credit,6,Set A Budget,6,Use Coupons
Tell Me The Worst Way For Someone To Wake You Up.,39,Scream,37,Splash With Water,10,Shake You,6,Jump On Bed,5,Use The Alarm
Name A Day When Kids Get A Lot Of Candy,64,Halloween,13,Easter,5,Christmas,5,Birthday,3,Valentine’s Day
Name Something Fierce Animals Have That Makes Them Threatening.,50,Sharp Teeth,18,Claws,14,Roar,5,Horns,5,Venom
What Do Santa Claus- Easter Bunny- And The Tooth Fairy Have In Common?,33,Some Don’t Believe,26,Special Occasions,18,Bring Gifts,13,Kids Love Them,3,Visit At Night
When It’s Cold Outside- Name Something You Dream About Doing On A Sunny Beach,43,Tanning,25,Swimming,9,Tropical Drinks,8,Picnic,5,Volleyball
Name An Activity That’s Often Described In Christmas Songs- Tho People Seldom Do It In Real Life.,35,Carol,24,Deck The Halls,18,Sleigh Ride,16,Roast Chestnuts,6,Walk/Play In Snow
What Might A Woman Have To Do In Order To Become A Supermodel?,53,Diet,15,Exercise,12,Plastic Surgery,6,Get Head Shots,4,Wear Stylish Clothes
Name An Occasion For Which Men Buy Gifts For Their Wives.,46,Anniversary,30,Birthday,7,Valentine’s Day,4,Christmas,3,Wedding
Name A Place Where You’d Be Mortified If Your Cell Phone Went Off.,39,Church,37,Funeral,7,Movies,4,Job Interview,4,Wedding
Name Something Moms Warn Their Children Will Make Them Catch A Cold.,34,Not Wearing Jacket,26,Germs,15,Not Wearing Shoes,7,No Hat,5,Wet Head
Name The First Thing You’D Say To The Other Driver After A Fender Bender,56,Sorry,23,Are You Ok?,10,Have Insurance?,5,Curse Word,4,What Were You Doing?
Name A Physical Characteristic A Store Might Look At When Hiring A Santa,48,Big Belly,35,Facial Hair,6,Age,5,Jolly Face,3,White Hair
Name Something You Change On Or In Your Car,45,Oil,25,Tires,11,Radio Station,6,Brake Pads,4,Windshield Wipers
Real Or Fictional- Name A Famous Cowboy,39,John Wayne,18,Roy Rogers,12,Billy The Kid,10,Lone Ranger,9,Woody
Where Might A Pet Lover Think Their Dog Should Be Allowed?,33,Store,18,Restaurant,16,Park,12,Hotel,9,Work
Name A Place Where You Get Antsy From Sitting Too Long.,44,Church,19,School,12,Movie Theatre,8,Waiting Room,7,Work/Meeting
Name Something Specific That A Superhero Would Be Useless Without.,53,Flying,25,Costume,6,Super Strength,5,Sidekick,4,X Ray Vision
Where Do You Get Your Christmas Tree From Each Year?,34,Store,33,Woods,11,Tree Lot,8,Tree Farm,5,Attic
What Might Someone Use While Cutting Their Own Hair?,48,Scissors,24,Mirror,10,Clippers,7,Comb,3,Bowl
Name Something You Do While Waiting In Line,33,Read,23,Talk On Cellphone,17,Hum/Whistle,7,Think,6,Complain
Name Something New Parents Have To Agree On Before their Baby Is born,52,Name,29,Religion,8,Room Color,5,Childcare,3,Discipline
Name A Place It Would Be Strange To Go If You Didn’t Have Kids,33,Park/Playground,22,Chuck E Cheese,14,Zoo,12,School/Daycare,12,Disney/Amusement Park
If Money Isn’t An Object- Who Do People Hire To Help Make Their Lives Easier?,55,Maid,20,Chef,10,Butler,7,Nanny,3,Driver
What Do Most People Hope To Accomplish By The Time They Are 30?,36,Pursue A Career,28,Get Married,12,Have Kids,9,Buy A House,9,Finish College
Name An Occupation In Which You Might Be In A New City Every Night.,47,Pilot,17,Salesperson,10,Musician,8,Truck Driver,7,Flight Attendant
What Do People Miss About Their Youth?,29,Energy,28,Looks,19,Fun,12,Going To School,10,Freedom
Name Something People Compete Over.,33,Dates,31,Sports,13,Money,10,Jobs,4,Games
Which Sports Are More Popular In America Than In Other Countries?,65,Football,17,Baseball,7,Basketball,5,Hockey,3,Golf
Name A Reason Why You Might Want To Hide From Someone At Work,39,Don’t Like Them,29,Late,19,Owe Them Money,8,It’s Your Ex,4,In Trouble
Name Something Some Pets Wear- Although It’s Usually Only Worn By Humans.,39,Sweater,25,Shirt,14,Coat,8,Shoes,4,Jewelry
Name Something You’d Hate To Lose At The Airport.,36,Luggage,21,Boarding Pass,17,ID/Passport,13,Money,4,Kids
Name Something That’s Hard To Get Over.,44,Breakup,35,Death,8,Fence,7,Virus,5,Mountain
Which Characteristics Would Make Dracula Sound Attractive In A Personal’s Ad?,42,Dark Hair,28,Tall,9,Well Dressed,7,Accent,4,Mysterious
How Can You Tell Somebody Is Angry At You From Their Text Messages?,68,All Caps,12,Exclamation Points,7,Swearing,6,Angry Face,5,No Response
What Do Roommates Fight About Most Often?,34,Bills,28,Cleaning,19,Food,5,Bathroom,3,Noise
If You Could Choose- What Would Be An Ideal Place To Meet Your Future Mate?,38,Place Of Worship,21,Shopping Center,15,Park,12,Work,5,Party
If A Man Is Trying To Get A Date With A Woman- What Might He Do In Order To Woo Her?,42,Send Flowers,16,Buy Her A Drink,16,Compliment Her,12,Flirt,9,Pickup Line
Other Than Working- Name Something You Could Stop Doing If You Became A Millionaire.,38,Cleaning,29,Driving,19,Cooking,9,Worrying,3,Saving
Name A State That Many People Live In When They Retire.,49,Florida,19,California,18,Arizona,6,Hawaii,6,Texas
Name Something A Restaurant Owner Would Hate To Tell Customers They’ve Run Out Of,50,Food,24,Coffee,12,Space,7,Alcohol,6,The Special
Name Something People Take lots Of Photos Of During A Vacation. Be Specific.,42,Themselves,24,Oceans,11,Tall Buildings,7,Landmarks,4,Trees
Name Something You Can Do On Even The Oldest Of Computers.,36,Word Processing,20,E Mail,16,Print,14,Play Solitaire,11,Use Calculator
What Name Would You Give Your Daughter If You Wanted To Name Her After A Queen?,56,Elizabeth,14,Victoria,12,Mary,5,Cleopatra,4,Anne
Name A Job You Would Only Do At Night.,48,Night Watch,16,Bartender,14,Entertainer,12,Janitor,7,Bouncer
Name Something You Use To Bake A Pumpkin Pie.,44,Pumpkin,23,Oven,12,Pie Pan,8,Spices,3,Evaporated Milk
Name A Reason Why A Boss Calls An Employee Into His Office.,44,Getting Let Go,34,Promotion/Raise,13,Lateness,4,Warning/Reprimand,3,Have A Meeting
If A Woman Had A Mid-Life Crisis- What Might She Do?,45,Buy New Car,21,Have An Affair,17,Plastic Surgery,8,Shopping Spree,8,Cut/Dye Hair
Name A Place Where It Would Be Strange To Go If You Didn’t Have Kids.,33,Park/ Playground,22,Chuck E Cheese,14,Zoo,12,School/ Daycare,12,Disney/ Amusement Park
Name Something Cheesy People Do In Family Portraits.,42,Wide Smile,25,Bunny Ears,11,Make Faces,5,Pose,3,Dress Alike
Name Something A Young Man Would Not Want To Talk To A Girlfriend’s Father About.,34,Relationship,31,Marriage,15,Money,7,Ex Girlfriends,6,Maternity
Name A Kind Of Pants You Can’t Wear To Work.,61,Jeans,22,Sweats,6,Leather,5,Stretch Pants,3,Pajama Pants
Name A Fast Food Restaurant People Would Recognize By Their Sign.,39,McDonalds,25,Burger King,14,Taco Bell,11,KFC,5,Pizza Hut
Other Than Love- Name Something That “Money Can’t Buy”.,38,Happiness,22,Health,14,Friendship,8,Family,7,Time
how Many Hours Of Sleep Does The average person Need In Oder To Wake Up Refreshed?,47,8,18,7,17,6,3,10,3,9
Name Something That Happens To An Old Person’s Body- That You’d Be Surprised To Hear A teen Complaining About,50,Wrinkles,25,Arthritis,8,Gray Hair,8,Sagging,7,Back Ache
Name A recreational Activity Traditionally Don In Hot Weather,44,Swimming,18,Baseball,17,Volleyball,11,Surfing,7,Boating
Name A Messy Food You Can tell A Kid Has Been Eating,30,Spaghetti,28,Ice Cream,23,Chocolate,10,Pizza,6,Cake
Name Something Dog Owners Probably Wish Their Dogs Never Did,56,Go To The Bathroom,27,Bark,5,Bite,3,Shed,3,Dig Holes
Name something A House Needs In Order To Be Considered A Mansion,33,Lots Of rooms,28,Pool,22,staff,8,Elevator,4,Gate
Name Something In The Kitchen That Makes A Huge Mess If It’s Spilled,39,Milk,17,Juice / Kool Aid,15,Flour,12,Cooking Oil,8,Grease
Name A Topic Most Men Can’t Stand- But Women Could Discuss For Hours,44,Shopping,19,clothes,14,Soap Operas,11,Men,7,Hair
Instead Of A veil- What type Of Headwear Would You Be Surprise To See On A Bride’s Head?,45,Crowne,28,Beanie,9,Baseball Cap,8,Cowboy,7,Helmet
If Your blind date walked In And You Didn’t Feel A Spark- What Would YOu Do?,42,Sneak Out,23,Finish The date,18,Make Up An Excuse,10,Be Honest,3,Hide
Name A Kids Toy Your Parent’s Might Have Played With Thats still Around,45,Barbie Doll,15,Yo Yo,15,Baby Doll,11,Top,9,Hula Hoop
Name Something That’s Usually Fruit-Flavored,44,Gum/Candy,22,Juice,10,Jell O,6,Soda,5,Ice Cream
Name Something You Can’t Do In A Home Gym Thant You Can Do In A Real Gym,40,Swim,33,Run Track,8,Sauna,6,Lift Weights,5,Socialize
Name Something A Kid Picks Up From School,61,Germs/Sickness,16,Homework,11,Lice,6,Bad Habits,3,Swears
What Are The Most Common Terms Of Endearment Used When A Person Is Talking To Their Partner,36,Honey,20,Love,18,Baby,7,Dear,5,Sweetheart
Name A Place You’d Get A Dirty Look For Falling Asleep,47,Place Of Worship,25,Work,18,School,4,Public Transit,3,Theater
Name A Time You Shouldn’t Send A text Message To Your Love Interest,41,At Work,22,Midnight,13,While Driving,12,Mad,10,When Drinking
Tell Me The Age That Most People Want To Live Until.,51,100,21,80,15,90,5,75,5,70
Name A Time When You Should Not Send A Text Message To Your Love Interest.,41,At Work,22,Midnight,13,While Driving,12,When Mad,10,After Drinking
What Do People Bring Back As A Souvenir From Disneyworld?,41,Mouse Ears,30,T Shirt,9,Keychain,8,Stuffed Animal/ Doll,4,Autograph
If You Lived In Soap Opera Land- Name Something That Would Happen A Lot More Often.,25,Drama/ Fights,20,Suspicious Deaths,20,Love Affairs,12,Romance/ Weddings,10,Break Ups/ Divorce
Name Something Runners Do Right After They Finish A Marathon.,63,Drink Water,12,Rest,9,Celebrate,5,Walk Around,3,Eat
Name A Type Of Crisis That Usually Happens At Least Once In An Action Movie.,38,Violent Crime,20,Explosion/ Fire,16,Kidnapping,13,Car Crash/ Chase,8,Fight
Name Something A Girl In A Pageant Would Know How To Do- But Most Little Girls Wouldn’t.,49,ID,19,Hair,18,Name,10,Facial Hair,3,Glasses
Name A Topic Most Men Can’t Stand- But Many Women Could Discuss For Hours.,44,Shopping,19,Clothes,14,Soap Operas,11,Men,7,Hair
Name something special a restaurant might do on certain nights in order to draw in customers?,49,Food Discounts,19,Happy Hour,11,Kids Eat Free,4,Buffet,3,Live Music
Name A Reason Why A Man Might Not Want His Wife To Have A Girl’s Night Out.,57,Jealous,21,Drinking,11,No Dinner,3,Has To Watch Kids,3,Lonely
Name A Shakespeare Character Who Most People Have Heard Of.,56,Romeo,20,Hamlet,15,Juliet,3,Macbeth,3,Othello
Name A Halloween Costume People Wear If They Don’t Want To Go All Out,50,Ghost,36,Witch,5,Pumpkin,4,Vampire,3,Pajamas
Why Might Someone Prefer Online Dating Over Meeting In A Bar?,46,They’re Shy,17,Not Just About Looks,12,It’s Safer,11,Convenience,5,People Are Sober
Who Or What Might Enter A House Without Using The Front Door?,35,Burglar,29,Pet,18,Santa Claus,10,Kid/ Teen,5,Police Officer
Name Something Moms Are Desperate For.,31,Money,25,Sleep,14,Free Time,11,Help,9,Quiet
Name Something You’re Supposed To Do With Both Hands- But People Often Use Just One.,49,Drive,24,Eat,17,Type,5,Clap,3,Ride A Bike
Name Something Your Grandma Might Repair When It Gets Old- But You Just Buy A New One.,30,Car,26,TV,21,Socks,14,Sweater,5,Shoes
Tell Me Something A Child Might Complain About On A Road Trip.,36,Sitting Too Long,30,Need A Bathroom,22,Hungry,6,Bored,4,Temperature
Name Something You’d Put In A Breakfast Buritto,44,Eggs,25,Cheese,12,Meat,10,Beans,7,Tomato/Salsa
We Asked 100 Women:Which Accessory Or Piece Of Clothing Do You Buy Most Often?,49,Shoes,14,Shirt,12,Jewelery,9,Bra,7,Underware
If You Could Choose Your Neighbors- Which Traits Would You Look For?,40,Quiet,36,Friendly,9,Trustworthy,8,Clean,3,Attractive
Name Something You Spend Less Time Doing When You’re On Vacation,37,Working,28,Sleeping,21,Worrying,6,Watching TV,6,Cleaning/Cooking
Name An Activity That Boys Do In A Tree House,31,Play Cards,24,Comic Books,14,Smoke,11,Talk About Girls,5,Eat Snacks
What Do You Think A High School Mascot Wears Under His Costume?,48,Nothing,21,Shorts,21,Underwear,5,Tights,3,T Shirt
Besides Watching It- Name Something people Do In Front Of The Television,48,Eat,23,Sleep,11,Exersice,5,Games,4,Talk
Name Something Adults Always Ask Kids About School,36,Have Homework?,32,How Are Your grades?,18,How Was Your Day?,6,What Did You Learn?,3,When Is Your Test?
Name A Muscle That A Body Builder Would Show Off,40,Upper Arm,27,Chest,20,Stomach,6,Calf,3,Butt
What Are The Most Popular Types Of Flowers Used In A Wedding,44,Roses,23,Tulips,18,Lilies,11,Carnations,3,Daisies
Name Someone Specific Who You wouldn’t Want Viewing Your Facebook Page,44,Parent,31,Boss,17,Ex,4,partner,3,Kids
if A Mouse Pad Were A Place Where Bachelor Mice Lived- What Would You Likely Find Inside,63,Cheese Bar,18,Beer,6,Dirty Clothes,3,Female Mice,3,Mini TV
Name The Age At Which People Stop Borrowing Money From Their Parents,27,35,24,25,21,21,16,18,10,Never
Name A Household Chore You Do While Sitting,33,Dusting,32,Folding Laundry,17,Ironing,10,Mending Clothes,5,Paying Bills
Name An Animal That’s Black-And-White,51,Zebra,17,Skunk,13,Panda Bear,4,Cow,3,Penguin
Name Something A Cowboy Probably Leaves At Home For A Job Interview,39,10 Gallon Hat,25,Gun,24,Horse,7,Boots,3,Rope
Name Something Both A Logger And A Rock Star Wear,50,Boots,24,Hat,10,Jeans,6,Flannel Shirt,6,SunGlasses
Name A Type Of Poster A 13-Year-Old Boy Might Have On His ,20,Movie/TV Star,14,Their Favorite Band,12,Sports,7,Pro Wrestling,4,Superhero
